GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
4e8f1493-3b2becfb-98f7fa0-acaa34de-1933e49d,0.00030899,24687,4489,20824
cb65d41d-37f73bda-689223fd-8ae186e5-1a8d8ce3,0.000411987,12834,4878,32288
18bbe47c-a46322c6-33622142-626debbe-ffbdb76d,0.00023593,12396,2470,35134
b7c5f71-8a4a74fa-6305a1d4-c92976ae-f9a30e8c,0.00023815,21084,1564,27352
5a6f9c3-c11131bb-7c332a2c-c8683a83-3443a0e8,0.000411987,20306,6408,23286
3903a22d-a8ce61cc-92589cf6-3c38e5f2-df1b7455,0.000353894,26739,2881,20380
a6589a05-ff79f772-67ce5c4d-fc2dcc05-2dbc845c,0.000549316,5697,4358,39945
433dfa19-de5e0694-553a2f19-e715fdf0-e7fe03c8,0.000353894,10590,4497,34913
9d8a5b69-2b63c3d6-1d94ffad-577f012f-1e71addc,0.000530842,22182,4295,23523
4aa0730b-7909c8ae-a98ec764-ef499333-b91a6642,0.000771605,3706,1948,44346
3fe88244-9a7479dc-3c86790-d10b6d47-adf1eb50,0.000367041,11987,1220,36793
d756a366-42671727-eae7ee84-1aa333a0-6ce1a1f4,0.000541923,7754,7359,34887
afa4df12-19034834-d48e9715-59256dbe-275f0ab3,0.000381039,16716,2540,30744
b34c150b-9ac20432-b3ebab90-148f4f5d-c4f8e1bf,0.000565778,10779,732,38489
cc964396-fcec9a43-401fa4e0-b63d6461-368b52d9,0.000549316,11060,3960,34980
a1ba239c-6a9f0363-9b0f9238-6ae028d4-3ed4e513,0.000440449,12989,1706,35305
92a0989c-9729f8d5-cf55e95b-ac1f26dc-a7e3571e,0.00390625,1766,1749,46485
e8a2307a-6b86c9f1-7f00e82b-9f1cdf2c-55e02379,0.00072576,8867,261,40872
725a2344-872b886b-ba323d58-9256f36d-d35a353,0.000281632,21878,789,27333
97a0d49b-30b419a8-2385ae09-ec019a49-ba65de5f,0.000541923,8265,6310,35425
2194f46-7db167f7-4514e26f-9a52939-775db59c,0.000743378,10743,661,38596
3b9c07c3-206acee5-64e05c3e-e45153ba-21466c2d,0.000267918,16822,1190,31988
e29cd6d2-e4e3f4d7-8936f277-21b2956b-70ab8e82,0.000334682,33622,100,16278
238bd763-65b77b7-e935192e-e56bec53-a1209650,0.000825976,5026,559,44415
b7399585-78702270-94d5bcef-71912435-84ca0ba1,0.000353894,22067,4030,23903
4be3b5a7-a3a4b86-91059aea-8a4e029e-aba6ec2f,0.000823975,2893,162,46945
44dedc7e-cb046f65-ee89aad1-2e00e00b-f1547ded,0.00154321,1278,1147,47575
e5ad9797-7797ee77-9599d44b-8b8c6ca9-8bbf0d4d,0.000225306,17951,640,31409
7e1d30cd-5c272852-20bd5b43-3acebb38-52c02cd3,0.000565778,12037,924,37039
4120c2c6-7c6ac9ba-3d9272a1-839185a1-130cd0d1,0.00023593,19332,2594,28074
f65f81b8-4e52e314-53363b4c-aa08ce95-2af57acb,0.000685871,7700,2187,40113
e42a722b-100b91bb-4179ca95-4c003e57-4e331032,0.0006615,10956,258,38786
515794cc-d00cc266-dd2e6503-ffd1e4ec-d6ff9dcb,0.000208146,15465,408,34127
5b8dff09-9ceb59d5-17d6c88e-fc63347c-873d855,0.00063504,9602,320,40078
345deb71-6f36c8cb-1ad29c9c-777825b8-8640676f,0.000685871,9430,2752,37818
56bcd1a6-35e937e1-a782178f-18c93a11-f17d650b,0.000732422,5055,4076,40869
b4a8ca3a-1a892228-59aab3dd-6ec33eee-58156ca0,0.000509779,9111,1150,39739
c6b27021-cc60e208-8d4a5a58-bf32c318-13f22f70,0.00023593,14097,2719,33184
