k,m,h(m)
12,38,0.0648718
12,39,0.0598168
12,40,0.0551253
12,41,0.0507733
12,42,0.0467383
12,43,0.0429993
12,44,0.0395362
12,45,0.0363306
12,46,0.0333648
12,47,0.0306225
12,48,0.0280882
12,49,0.0257476
12,50,0.0235869
12,51,0.0215937
12,52,0.0197559
12,53,0.0180625
12,54,0.0165032
12,55,0.0150681
12,56,0.0137483
12,57,0.0125352
12,58,0.011421
12,59,0.0103982
12,60,0.00946001
12,61,0.00860001
12,62,0.00781222
12,63,0.00709109
12,64,0.00643146
12,65,0.00582851
12,66,0.00527778
12,67,0.00477514
12,68,0.00431672
12,69,0.00389898
12,70,0.00351859
12,71,0.0031725
12,72,0.00285787
12,73,0.00257208
12,74,0.00231271
12,75,0.00207752
12,76,0.00186444
12,77,0.00167157
12,78,0.00149714
12,79,0.00133955
12,80,0.0011973
12,81,0.00106902
12,82,0.000953446
12,83,0.000849434
12,84,0.000755918
12,85,0.000671927
12,86,0.000596571
12,87,0.000529035
12,88,0.000468574
12,89,0.000414507
12,90,0.000366215
12,91,0.000323131
12,92,0.000284739
12,93,0.000250571
12,94,0.000220198
12,95,0.000193235
12,96,0.00016933
13,1,0.932292
13,2,0.868837
13,3,0.809391
13,4,0.753718
13,5,0.701599
13,6,0.652825
13,7,0.607197
13,8,0.56453
13,9,0.524644
13,10,0.487375
13,11,0.452562
13,12,0.420058
13,13,0.38972
13,14,0.361416
13,15,0.335021
13,16,0.310415
13,17,0.287486
13,18,0.26613
13,19,0.246247
13,20,0.227743
13,21,0.21053
13,22,0.194525
13,23,0.179649
13,24,0.16583
13,25,0.152998
13,26,0.141088
13,27,0.130039
13,28,0.119793
13,29,0.110298
13,30,0.101501
13,31,0.0933557
13,32,0.0858176
13,33,0.078845
13,34,0.0723985
13,35,0.0664417
13,36,0.0609401
13,37,0.0558618
13,38,0.0511766
13,39,0.0468565
13,40,0.0428752
13,41,0.0392083
13,42,0.0358327
13,43,0.0327272
13,44,0.0298718
13,45,0.027248
13,46,0.0248383
13,47,0.0226266
13,48,0.020598
13,49,0.0187385
13,50,0.017035
13,51,0.0154755
13,52,0.0140486
13,53,0.0127441
13,54,0.0115522
13,55,0.010464
13,56,0.00947104
13,57,0.00856572
13,58,0.00774088
13,59,0.0069899
13,60,0.00630667
13,61,0.00568556
13,62,0.00512134
13,63,0.00460921
13,64,0.00414472
13,65,0.00372377
13,66,0.0033426
13,67,0.00299772
13,68,0.00268596
13,69,0.00240437
13,70,0.00215025
13,71,0.00192112
13,72,0.00171472
13,73,0.00152896
13,74,0.00136193
13,75,0.00121189
13,76,0.00107723
13,77,0.000956509
13,78,0.000848382
13,79,0.000751637
13,80,0.000665165
13,81,0.000587958
13,82,0.000519098
13,83,0.00045775
13,84,0.000403156
13,85,0.000354628
13,86,0.000311543
13,87,0.000273335
13,88,0.000239493
13,89,0.000209556
13,90,0.000183108
13,91,0.00015977
13,92,0.000139206
13,93,0.000121109
13,94,0.000105206
13,95,9.125e-05
13,96,7.90206e-05
14,1,0.927083
14,2,0.85913
14,3,0.795825
14,4,0.736875
14,5,0.682002
14,6,0.630943
14,7,0.583452
14,8,0.539299
14,9,0.498266
14,10,0.460147
14,11,0.424751
14,12,0.391897
14,13,0.361416
14,14,0.333149
14,15,0.306946
14,16,0.282668
14,17,0.260183
14,18,0.239369
14,19,0.220109
14,20,0.202297
14,21,0.185831
14,22,0.170617
14,23,0.156566
14,24,0.143596
14,25,0.131629
14,26,0.120595
14,27,0.110424
14,28,0.101055
14,29,0.0924281
14,30,0.0844895
14,31,0.0771879
14,32,0.0704759
14,33,0.0643093
14,34,0.0586468
14,35,0.0534503
14,36,0.048684
14,37,0.0443149
14,38,0.0403123
14,39,0.0366475
14,40,0.0332942
14,41,0.0302276
14,42,0.027425
14,43,0.0248654
14,44,0.022529
14,45,0.0203979
14,46,0.0184552
14,47,0.0166856
14,48,0.0150745
14,49,0.013609
14,50,0.0122766
14,51,0.0110662
14,52,0.00996747
14,53,0.00897073
14,54,0.0080672
14,55,0.00724879
14,56,0.00650804
14,57,0.00583809
14,58,0.00523266
14,59,0.00468596
14,60,0.0041927
14,61,0.00374802
14,62,0.00334747
14,63,0.00298697
14,64,0.00266281
14,65,0.00237156
14,66,0.00211013
14,67,0.00187567
14,68,0.0016656
14,69,0.00147754
14,70,0.00130937
14,71,0.00115911
14,72,0.001025
14,73,0.000905418
14,74,0.000798898
14,75,0.000704113
14,76,0.000619861
14,77,0.00054505
14,78,0.000478696
14,79,0.000419909
14,80,0.000367885
14,81,0.000321899
14,82,0.000281299
14,83,0.000245497
14,84,0.000213966
14,85,0.000186229
14,86,0.000161863
14,87,0.000140485
14,88,0.000121753
14,89,0.000105364
14,90,9.10423e-05
14,91,7.85463e-05
14,92,6.76587e-05
14,93,5.81865e-05
14,94,4.99581e-05
14,95,4.28212e-05
14,96,3.66408e-05
15,1,0.921875
15,2,0.849476
15,3,0.782413
15,4,0.720316
15,5,0.662844
15,6,0.609675
15,7,0.560508
15,8,0.515061
15,9,0.473072
15,10,0.434296
15,11,0.398502
15,12,0.365477
15,13,0.335021
15,14,0.306946
15,15,0.28108
15,16,0.25726
15,17,0.235334
15,18,0.215163
15,19,0.196614
15,20,0.179567
15,21,0.163907
15,22,0.149529
15,23,0.136335
15,24,0.124235
15,25,0.113142
15,26,0.10298
15,27,0.0936743
15,28,0.0851585
15,29,0.0773696
15,30,0.0702497
15,31,0.0637451
15,32,0.0578061
15,33,0.0523868
15,34,0.0474446
15,35,0.0429404
15,36,0.0388378
15,37,0.0351034
15,38,0.0317063
15,39,0.028618
15,40,0.0258123
15,41,0.0232651
15,42,0.020954
15,43,0.0188586
15,44,0.0169601
15,45,0.0152411
15,46,0.0136859
15,47,0.0122798
15,48,0.0110095
15,49,0.00986268
15,50,0.00882813
15,51,0.00789558
15,52,0.00705563
15,53,0.00629967
15,54,0.00561985
15,55,0.00500899
15,56,0.00446056
15,57,0.00396859
15,58,0.00352764
15,59,0.00313275
15,60,0.00277943
15,61,0.00246359
15,62,0.0021815
15,63,0.00192979
15,64,0.00170539
15,65,0.00150554
15,66,0.00132772
15,67,0.00116966
15,68,0.0010293
15,69,0.000904789
15,70,0.000794449
15,71,0.00069677
15,72,0.000610394
15,73,0.000534095
15,74,0.000466772
15,75,0.000407436
15,76,0.000355201
15,77,0.00030927
15,78,0.00026893
15,79,0.000233545
15,80,0.000202543
15,81,0.000175417
15,82,0.000151712
15,83,0.000131024
15,84,0.000112993
15,85,9.72996e-05
15,86,8.36595e-05
15,87,7.18209e-05
15,88,6.15608e-05
15,89,5.26818e-05
15,90,4.50097e-05
15,91,3.83906e-05
15,92,3.2689e-05
15,93,2.77857e-05
15,94,2.35757e-05
15,95,1.99672e-05
15,96,1.68795e-05
16,1,0.916667
16,2,0.839878
16,3,0.769151
16,4,0.704038
16,5,0.64412
16,6,0.589008
16,7,0.538341
16,8,0.491781
16,9,0.449018
16,10,0.409759
16,11,0.373737
16,12,0.340699
16,13,0.310415
16,14,0.282668
16,15,0.25726
16,16,0.234005
16,17,0.212732
16,18,0.193282
16,19,0.175509
16,20,0.159277
16,21,0.14446
16,22,0.130944
16,23,0.118619
16,24,0.107389
16,25,0.0971617
16,26,0.0878528
16,27,0.079385
16,28,0.0716871
16,29,0.0646932
16,30,0.058343
16,31,0.0525807
16,32,0.0473553
16,33,0.0426198
16,34,0.038331
16,35,0.0344494
16,36,0.0309386
16,37,0.0277654
16,38,0.0248993
16,39,0.0223124
16,40,0.019979
16,41,0.017876
16,42,0.0159818
