GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
5ef7-fa10-665c-c92e-f1e2,0.000804663,2265,123
ecb3-c9ef-bcc0-639b-aae5,0.00030899,15525,672
b967-8b61-99c-d0ea-6d1b,0.000611735,6016,224
68c6-94a8-7111-369b-1ec4,0.000685871,4952,356
de7b-9592-18d5-44d7-5ec0,0.000530842,9071,440
458f-3cd4-ad63-24f-a06f,0.000796262,2645,128
98eb-caab-2149-9fc-146,0.000353894,14757,799
400e-e878-96d8-58e3-2d4f,0.000530842,9078,445
e8b5-4706-3d20-9e11-9726,0.000411987,12339,941
2e48-3925-52d0-4f91-4321,0.000530842,9672,527
58e9-e088-4c1c-83ef-f75a,0.000482253,11257,162
d586-6226-ee56-a981-301e,0.000428669,11154,385
de83-a435-f749-3153-f3c7,0.00064373,5685,180
483c-bc78-af81-869c-fe0a,0.000804663,2530,127
e1b2-c530-96f7-d8fb-f683,0.000541923,7621,1423
fd0e-7308-88f2-9405-4c03,0.000353894,13633,822
7f76-1ec3-5f68-fb64-2ce7,0.000522316,10243,13
b63e-b428-9bfa-1e62-ef,0.000271267,16462,2
2973-8c2a-de04-33bf-1d80,0.000541923,8103,1425
107d-14c6-8d3f-b772-25ee,0.0054,623,0
d24-2ec7-bd1c-eb29-6286,0.00055566,7266,9
da9d-8cf0-9354-6b25-b7a9,0.000353894,14189,824
be59-46c1-9425-70a3-a313,0.000541923,7957,1384
e694-58c-e18-a3b1-f0b5,0.00023815,17090,181
354e-5c19-3124-9727-97d5,0.000353894,14582,805
b4c9-9e94-e40e-4d34-3340,0.000338702,14977,133
1d14-6810-562e-d2b7-6077,0.000609663,5819,250
56b8-b436-db4a-d45d-b828,0.000353894,14195,786
c4be-9ac-1441-f5e2-a0d3,0.000642426,5255,3
72a7-77dd-36e-eca9-f3bb,0.000541923,8140,1413
bc43-b4e-95c0-2246-4ee5,0.000520365,10549,75
f2bc-78ff-31b-ce07-4d5c,0.00423104,890,1
2b34-a9eb-839e-2ea2-9694,0.0018225,1110,4
7759-ae42-a051-d325-8411,0.000541923,7564,1360
eeb6-c6ee-e7c5-2209-fe32,0.037037,55,5
3eb1-ee7d-2a22-df02-c1a2,0.000754371,3634,108
ae33-5bc8-510a-3d92-6e4e,0.000509779,10729,236
604-9b9f-3b71-edca-bda8,0.000353894,14833,179
c98b-5c57-b885-3d1c-89be,0.00077555,3122,1
a3b1-559c-cc7e-df23-4366,0.000411987,12511,960
c886-3f34-82a5-810b-7c50,0.000367041,13675,219
3126-df43-dbfb-fda4-be66,0.000338702,15283,158
d1b4-c141-38ab-ecac-855d,0.000734082,4031,309
567-719-520c-313e-7cc2,0.000541923,7965,1384
37f7-69b2-2239-13f3-6757,0.000685871,4865,345
e09f-3354-ef22-b7cc-776c,0.000685871,4935,318
fa08-8871-7510-b5fe-8371,0.000447699,11467,2
cdca-d970-9083-f003-ed63,0.00030899,15002,612
f7da-d0a3-20b7-e6fc-886f,0.000530842,9241,456
9823-f2f7-11f0-d0d1-379e,0.00055566,7378,10
881d-8edb-81ab-563-9ef2,0.000734082,4038,272
4c8b-830f-2cce-5e7b-53e0,0.000267918,16788,81
646c-e698-e2bb-e618-ebfb,0.000183521,17589,62
81ae-e30f-eb66-a912-5517,0.000686646,5328,63
a0cf-53e7-b700-447c-8992,0.000541923,8550,1477
ba61-ef9-8d07-9732-69fa,0.000541923,8357,1400
e35-1786-a1de-9b3c-aeb8,0.000338702,14947,119
2fcc-6472-bb18-c83-8e38,0.000734082,3834,299
e23d-19f6-5e23-57cb-ac0d,0.000872494,2063,9
1923-3865-885c-e334-c539,0.000381039,13638,405
b2d9-eed2-81da-41c9-b588,0.000609663,6502,269
3eaa-b052-c3e9-17f4-36a3,0.000411987,12194,956
ad82-3117-6f08-35de-144b,0.000183521,18523,3
3442-e8b8-31d-b61c-2a81,0.000530842,9661,488
b8a6-11a-8973-1722-2f32,0.000976562,1480,269
32ca-2bdc-90b-a1d3-61ba,0.000578183,7198,72
74f4-d91a-8d4b-fe67-f03d,0.000754371,3553,83
476c-1cb7-643a-5078-be8a,0.000874412,1945,13
c5f5-6dcf-949f-1067-8e43,0.000411987,12386,916
579b-6a98-e5d9-be36-1388,0.000411987,11854,940
f493-96ab-d55-5bf1-44c6,0.000651042,5769,10
282c-f5b6-4da2-3d30-5653,0.000183521,18138,13
85f7-c85b-1566-d399-58c,0.000353894,14683,842
5fe8-e383-548-f007-4d98,0.000381039,13644,394
a2ce-bc56-ae8a-97e0-3c67,0.000732422,4081,237
fd10-3a1a-5044-dc15-58ea,0.000148844,18140,22
77dc-c33-4abb-ba90-90b3,0.000609663,6123,253
793c-9700-7841-7e84-8707,0.000211689,18169,42
b9f3-36f-1d50-51a2-e823,0.000338702,15544,115
e4c8-58ba-455c-caf1-99ce,0.000868056,2213,96
1574-be34-a7ba-5ad0-8925,0.000796262,3014,166
a9f2-fe53-4da8-c2f0-76bf,0.000541923,7912,1412
c88f-3726-f80e-9b12-1092,0.000541923,7467,1438
b618-c323-10e9-3c1-8613,0.000541923,7747,1545
87a8-846b-a48-30c6-3b86,0.000338702,15142,124
3c5e-bfa9-a861-68cf-d8da,0.000530842,9494,493
e29a-996c-e233-f3cf-b64d,0.00057576,6903,0
818a-89a7-7c3a-29eb-f277,0.000541923,7952,1463
